bps_kode_kecamatan,bps_nama_kecamatan,total_kasus,tahun
3273010,BANDUNG KULON,136.0,2016
3273010,BANDUNG KULON,25.0,2017
3273010,BANDUNG KULON,47.0,2018
3273010,BANDUNG KULON,94.0,2019
3273010,BANDUNG KULON,64.0,2020
3273010,BANDUNG KULON,113.0,2021
3273010,BANDUNG KULON,116.0,2022
3273020,BABAKAN CIPARAY,89.0,2016
3273020,BABAKAN CIPARAY,17.0,2017
3273020,BABAKAN CIPARAY,88.0,2018
3273020,BABAKAN CIPARAY,130.0,2019
3273020,BABAKAN CIPARAY,90.0,2020
3273020,BABAKAN CIPARAY,131.0,2021
3273020,BABAKAN CIPARAY,111.0,2022
3273030,BOJONGLOA KALER,64.0,2016
3273030,BOJONGLOA KALER,24.0,2017
3273030,BOJONGLOA KALER,89.0,2018
3273030,BOJONGLOA KALER,150.0,2019
3273030,BOJONGLOA KALER,93.0,2020
3273030,BOJONGLOA KALER,164.0,2021
3273030,BOJONGLOA KALER,190.0,2022
3273040,BOJONGLOA KIDUL,80.0,2016
3273040,BOJONGLOA KIDUL,18.0,2017
3273040,BOJONGLOA KIDUL,84.0,2018
3273040,BOJONGLOA KIDUL,114.0,2019
3273040,BOJONGLOA KIDUL,50.0,2020
3273040,BOJONGLOA KIDUL,114.0,2021
3273040,BOJONGLOA KIDUL,111.0,2022
3273050,ASTANAANYAR,67.0,2016
3273050,ASTANAANYAR,58.0,2017
3273050,ASTANAANYAR,90.0,2018
3273050,ASTANAANYAR,96.0,2019
3273050,ASTANAANYAR,66.0,2020
3273050,ASTANAANYAR,75.0,2021
3273050,ASTANAANYAR,92.0,2022
3273060,REGOL,159.0,2016
3273060,REGOL,115.0,2017
3273060,REGOL,80.0,2018
3273060,REGOL,120.0,2019
3273060,REGOL,67.0,2020
3273060,REGOL,99.0,2021
3273060,REGOL,150.0,2022
3273070,LENGKONG,226.0,2016
3273070,LENGKONG,138.0,2017
3273070,LENGKONG,90.0,2018
3273070,LENGKONG,128.0,2019
3273070,LENGKONG,97.0,2020
3273070,LENGKONG,134.0,2021
3273070,LENGKONG,200.0,2022
3273080,BANDUNG KIDUL,163.0,2016
3273080,BANDUNG KIDUL,82.0,2017
3273080,BANDUNG KIDUL,74.0,2018
3273080,BANDUNG KIDUL,110.0,2019
3273080,BANDUNG KIDUL,65.0,2020
3273080,BANDUNG KIDUL,110.0,2021
3273080,BANDUNG KIDUL,173.0,2022
3273090,BUAHBATU,293.0,2016
3273090,BUAHBATU,134.0,2017
3273090,BUAHBATU,131.0,2018
3273090,BUAHBATU,202.0,2019
3273090,BUAHBATU,180.0,2020
3273090,BUAHBATU,185.0,2021
3273090,BUAHBATU,299.0,2022
3273100,RANCASARI,206.0,2016
3273100,RANCASARI,89.0,2017
3273100,RANCASARI,100.0,2018
3273100,RANCASARI,143.0,2019
3273100,RANCASARI,143.0,2020
3273100,RANCASARI,187.0,2021
3273100,RANCASARI,288.0,2022
3273101,GEDEBAGE,93.0,2016
3273101,GEDEBAGE,29.0,2017
3273101,GEDEBAGE,56.0,2018
3273101,GEDEBAGE,104.0,2019
3273101,GEDEBAGE,64.0,2020
3273101,GEDEBAGE,85.0,2021
3273101,GEDEBAGE,164.0,2022
3273110,CIBIRU,124.0,2016
3273110,CIBIRU,29.0,2017
3273110,CIBIRU,105.0,2018
3273110,CIBIRU,173.0,2019
3273110,CIBIRU,72.0,2020
3273110,CIBIRU,94.0,2021
3273110,CIBIRU,195.0,2022
3273111,PANYILEUKAN,48.0,2016
3273111,PANYILEUKAN,34.0,2017
3273111,PANYILEUKAN,48.0,2018
3273111,PANYILEUKAN,77.0,2019
3273111,PANYILEUKAN,77.0,2020
3273111,PANYILEUKAN,58.0,2021
3273111,PANYILEUKAN,124.0,2022
3273120,UJUNG BERUNG,129.0,2016
3273120,UJUNG BERUNG,32.0,2017
3273120,UJUNG BERUNG,81.0,2018
3273120,UJUNG BERUNG,222.0,2019
3273120,UJUNG BERUNG,137.0,2020
3273120,UJUNG BERUNG,165.0,2021
3273120,UJUNG BERUNG,215.0,2022
3273121,CINAMBO,36.0,2016
3273121,CINAMBO,26.0,2017
3273121,CINAMBO,24.0,2018
3273121,CINAMBO,70.0,2019
3273121,CINAMBO,36.0,2020
3273121,CINAMBO,35.0,2021
3273121,CINAMBO,68.0,2022
3273130,ARCAMANIK,185.0,2016
3273130,ARCAMANIK,62.0,2017
3273130,ARCAMANIK,95.0,2018
3273130,ARCAMANIK,241.0,2019
3273130,ARCAMANIK,139.0,2020
3273130,ARCAMANIK,131.0,2021
3273130,ARCAMANIK,275.0,2022
3273141,ANTAPANI,170.0,2016
3273141,ANTAPANI,92.0,2017
3273141,ANTAPANI,128.0,2018
3273141,ANTAPANI,213.0,2019
3273141,ANTAPANI,120.0,2020
3273141,ANTAPANI,239.0,2021
3273141,ANTAPANI,261.0,2022
3273142,MANDALAJATI,71.0,2016
3273142,MANDALAJATI,33.0,2017
3273142,MANDALAJATI,95.0,2018
3273142,MANDALAJATI,143.0,2019
3273142,MANDALAJATI,87.0,2020
3273142,MANDALAJATI,109.0,2021
3273142,MANDALAJATI,145.0,2022
3273150,KIARACONDONG,203.0,2016
3273150,KIARACONDONG,114.0,2017
3273150,KIARACONDONG,175.0,2018
3273150,KIARACONDONG,308.0,2019
3273150,KIARACONDONG,111.0,2020
3273150,KIARACONDONG,202.0,2021
3273150,KIARACONDONG,250.0,2022
3273160,BATUNUNGGAL,210.0,2016
3273160,BATUNUNGGAL,131.0,2017
3273160,BATUNUNGGAL,162.0,2018
3273160,BATUNUNGGAL,193.0,2019
3273160,BATUNUNGGAL,131.0,2020
3273160,BATUNUNGGAL,119.0,2021
3273160,BATUNUNGGAL,213.0,2022
3273170,SUMUR BANDUNG,37.0,2016
3273170,SUMUR BANDUNG,25.0,2017
3273170,SUMUR BANDUNG,41.0,2018
3273170,SUMUR BANDUNG,49.0,2019
3273170,SUMUR BANDUNG,59.0,2020
3273170,SUMUR BANDUNG,54.0,2021
3273170,SUMUR BANDUNG,66.0,2022
3273180,ANDIR,106.0,2016
3273180,ANDIR,33.0,2017
3273180,ANDIR,67.0,2018
3273180,ANDIR,78.0,2019
3273180,ANDIR,84.0,2020
3273180,ANDIR,123.0,2021
3273180,ANDIR,113.0,2022
3273190,CICENDO,108.0,2016
3273190,CICENDO,34.0,2017
3273190,CICENDO,93.0,2018
3273190,CICENDO,110.0,2019
3273190,CICENDO,82.0,2020
3273190,CICENDO,114.0,2021
3273190,CICENDO,178.0,2022
3273200,BANDUNG WETAN,39.0,2016
3273200,BANDUNG WETAN,24.0,2017
3273200,BANDUNG WETAN,35.0,2018
3273200,BANDUNG WETAN,62.0,2019
3273200,BANDUNG WETAN,47.0,2020
3273200,BANDUNG WETAN,46.0,2021
3273200,BANDUNG WETAN,65.0,2022
3273210,CIBEUNYING KIDUL,141.0,2016
3273210,CIBEUNYING KIDUL,106.0,2017
3273210,CIBEUNYING KIDUL,222.0,2018
3273210,CIBEUNYING KIDUL,206.0,2019
3273210,CIBEUNYING KIDUL,90.0,2020
3273210,CIBEUNYING KIDUL,140.0,2021
3273210,CIBEUNYING KIDUL,173.0,2022
3273220,CIBEUNYING KALER,144.0,2016
3273220,CIBEUNYING KALER,64.0,2017
3273220,CIBEUNYING KALER,112.0,2018
3273220,CIBEUNYING KALER,125.0,2019
3273220,CIBEUNYING KALER,85.0,2020
3273220,CIBEUNYING KALER,121.0,2021
3273220,CIBEUNYING KALER,136.0,2022
3273230,COBLONG,292.0,2016
3273230,COBLONG,127.0,2017
3273230,COBLONG,187.0,2018
3273230,COBLONG,263.0,2019
3273230,COBLONG,189.0,2020
3273230,COBLONG,173.0,2021
3273230,COBLONG,286.0,2022
3273240,SUKAJADI,97.0,2016
3273240,SUKAJADI,36.0,2017
3273240,SUKAJADI,95.0,2018
3273240,SUKAJADI,207.0,2019
3273240,SUKAJADI,105.0,2020
3273240,SUKAJADI,215.0,2021
3273240,SUKAJADI,223.0,2022
3273250,SUKASARI,96.0,2016
3273250,SUKASARI,43.0,2017
3273250,SUKASARI,87.0,2018
3273250,SUKASARI,176.0,2019
3273250,SUKASARI,100.0,2020
3273250,SUKASARI,134.0,2021
3273250,SUKASARI,198.0,2022
3273260,CIDADAP,68.0,2016
3273260,CIDADAP,12.0,2017
3273260,CIDADAP,45.0,2018
3273260,CIDADAP,117.0,2019
3273260,CIDADAP,60.0,2020
3273260,CIDADAP,74.0,2021
3273260,CIDADAP,127.0,2022
