bps_nama_kecamatan,total_kasus,tahun
ANDIR,106.0,2016
ANDIR,33.0,2017
ANDIR,67.0,2018
ANDIR,78.0,2019
ANDIR,84.0,2020
ANDIR,123.0,2021
ANDIR,113.0,2022
ANTAPANI,170.0,2016
ANTAPANI,92.0,2017
ANTAPANI,128.0,2018
ANTAPANI,213.0,2019
ANTAPANI,120.0,2020
ANTAPANI,239.0,2021
ANTAPANI,261.0,2022
ARCAMANIK,185.0,2016
ARCAMANIK,62.0,2017
ARCAMANIK,95.0,2018
ARCAMANIK,241.0,2019
ARCAMANIK,139.0,2020
ARCAMANIK,131.0,2021
ARCAMANIK,275.0,2022
ASTANAANYAR,67.0,2016
ASTANAANYAR,58.0,2017
ASTANAANYAR,90.0,2018
ASTANAANYAR,96.0,2019
ASTANAANYAR,66.0,2020
ASTANAANYAR,75.0,2021
ASTANAANYAR,92.0,2022
BABAKAN CIPARAY,89.0,2016
BABAKAN CIPARAY,17.0,2017
BABAKAN CIPARAY,88.0,2018
BABAKAN CIPARAY,130.0,2019
BABAKAN CIPARAY,90.0,2020
BABAKAN CIPARAY,131.0,2021
BABAKAN CIPARAY,111.0,2022
BANDUNG KIDUL,163.0,2016
BANDUNG KIDUL,82.0,2017
BANDUNG KIDUL,74.0,2018
BANDUNG KIDUL,110.0,2019
BANDUNG KIDUL,65.0,2020
BANDUNG KIDUL,110.0,2021
BANDUNG KIDUL,173.0,2022
BANDUNG KULON,136.0,2016
BANDUNG KULON,25.0,2017
BANDUNG KULON,47.0,2018
BANDUNG KULON,94.0,2019
BANDUNG KULON,64.0,2020
BANDUNG KULON,113.0,2021
BANDUNG KULON,116.0,2022
BANDUNG WETAN,39.0,2016
BANDUNG WETAN,24.0,2017
BANDUNG WETAN,35.0,2018
BANDUNG WETAN,62.0,2019
BANDUNG WETAN,47.0,2020
BANDUNG WETAN,46.0,2021
BANDUNG WETAN,65.0,2022
BATUNUNGGAL,210.0,2016
BATUNUNGGAL,131.0,2017
BATUNUNGGAL,162.0,2018
BATUNUNGGAL,193.0,2019
BATUNUNGGAL,131.0,2020
BATUNUNGGAL,119.0,2021
BATUNUNGGAL,213.0,2022
BOJONGLOA KALER,64.0,2016
BOJONGLOA KALER,24.0,2017
BOJONGLOA KALER,89.0,2018
BOJONGLOA KALER,150.0,2019
BOJONGLOA KALER,93.0,2020
BOJONGLOA KALER,164.0,2021
BOJONGLOA KALER,190.0,2022
BOJONGLOA KIDUL,80.0,2016
BOJONGLOA KIDUL,18.0,2017
BOJONGLOA KIDUL,84.0,2018
BOJONGLOA KIDUL,114.0,2019
BOJONGLOA KIDUL,50.0,2020
BOJONGLOA KIDUL,114.0,2021
BOJONGLOA KIDUL,111.0,2022
BUAHBATU,293.0,2016
BUAHBATU,134.0,2017
BUAHBATU,131.0,2018
BUAHBATU,202.0,2019
BUAHBATU,180.0,2020
BUAHBATU,185.0,2021
BUAHBATU,299.0,2022
CIBEUNYING KALER,144.0,2016
CIBEUNYING KALER,64.0,2017
CIBEUNYING KALER,112.0,2018
CIBEUNYING KALER,125.0,2019
CIBEUNYING KALER,85.0,2020
CIBEUNYING KALER,121.0,2021
CIBEUNYING KALER,136.0,2022
CIBEUNYING KIDUL,141.0,2016
CIBEUNYING KIDUL,106.0,2017
CIBEUNYING KIDUL,222.0,2018
CIBEUNYING KIDUL,206.0,2019
CIBEUNYING KIDUL,90.0,2020
CIBEUNYING KIDUL,140.0,2021
CIBEUNYING KIDUL,173.0,2022
CIBIRU,124.0,2016
CIBIRU,29.0,2017
CIBIRU,105.0,2018
CIBIRU,173.0,2019
CIBIRU,72.0,2020
CIBIRU,94.0,2021
CIBIRU,195.0,2022
CICENDO,108.0,2016
CICENDO,34.0,2017
CICENDO,93.0,2018
CICENDO,110.0,2019
CICENDO,82.0,2020
CICENDO,114.0,2021
CICENDO,178.0,2022
CIDADAP,68.0,2016
CIDADAP,12.0,2017
CIDADAP,45.0,2018
CIDADAP,117.0,2019
CIDADAP,60.0,2020
CIDADAP,74.0,2021
CIDADAP,127.0,2022
CINAMBO,36.0,2016
CINAMBO,26.0,2017
CINAMBO,24.0,2018
CINAMBO,70.0,2019
CINAMBO,36.0,2020
CINAMBO,35.0,2021
CINAMBO,68.0,2022
COBLONG,292.0,2016
COBLONG,127.0,2017
COBLONG,187.0,2018
COBLONG,263.0,2019
COBLONG,189.0,2020
COBLONG,173.0,2021
COBLONG,286.0,2022
GEDEBAGE,93.0,2016
GEDEBAGE,29.0,2017
GEDEBAGE,56.0,2018
GEDEBAGE,104.0,2019
GEDEBAGE,64.0,2020
GEDEBAGE,85.0,2021
GEDEBAGE,164.0,2022
KIARACONDONG,203.0,2016
KIARACONDONG,114.0,2017
KIARACONDONG,175.0,2018
KIARACONDONG,308.0,2019
KIARACONDONG,111.0,2020
KIARACONDONG,202.0,2021
KIARACONDONG,250.0,2022
LENGKONG,226.0,2016
LENGKONG,138.0,2017
LENGKONG,90.0,2018
LENGKONG,128.0,2019
LENGKONG,97.0,2020
LENGKONG,134.0,2021
LENGKONG,200.0,2022
MANDALAJATI,71.0,2016
MANDALAJATI,33.0,2017
MANDALAJATI,95.0,2018
MANDALAJATI,143.0,2019
MANDALAJATI,87.0,2020
MANDALAJATI,109.0,2021
MANDALAJATI,145.0,2022
PANYILEUKAN,48.0,2016
PANYILEUKAN,34.0,2017
PANYILEUKAN,48.0,2018
PANYILEUKAN,77.0,2019
PANYILEUKAN,77.0,2020
PANYILEUKAN,58.0,2021
PANYILEUKAN,124.0,2022
RANCASARI,206.0,2016
RANCASARI,89.0,2017
RANCASARI,100.0,2018
RANCASARI,143.0,2019
RANCASARI,143.0,2020
RANCASARI,187.0,2021
RANCASARI,288.0,2022
REGOL,159.0,2016
REGOL,115.0,2017
REGOL,80.0,2018
REGOL,120.0,2019
REGOL,67.0,2020
REGOL,99.0,2021
REGOL,150.0,2022
SUKAJADI,97.0,2016
SUKAJADI,36.0,2017
SUKAJADI,95.0,2018
SUKAJADI,207.0,2019
SUKAJADI,105.0,2020
SUKAJADI,215.0,2021
SUKAJADI,223.0,2022
SUKASARI,96.0,2016
SUKASARI,43.0,2017
SUKASARI,87.0,2018
SUKASARI,176.0,2019
SUKASARI,100.0,2020
SUKASARI,134.0,2021
SUKASARI,198.0,2022
SUMUR BANDUNG,37.0,2016
SUMUR BANDUNG,25.0,2017
SUMUR BANDUNG,41.0,2018
SUMUR BANDUNG,49.0,2019
SUMUR BANDUNG,59.0,2020
SUMUR BANDUNG,54.0,2021
SUMUR BANDUNG,66.0,2022
UJUNG BERUNG,129.0,2016
UJUNG BERUNG,32.0,2017
UJUNG BERUNG,81.0,2018
UJUNG BERUNG,222.0,2019
UJUNG BERUNG,137.0,2020
UJUNG BERUNG,165.0,2021
UJUNG BERUNG,215.0,2022
